when, where, who, what, hours, stage
2024-11-08, home, daddy, REP, 0.5, 
2024-11-09, grape seed, daniel jojo, TSI REP, 1.5,
2024-11-09, home, daddy, REP, 0.5, 
2024-11-10, home, mother, REP, 0.5, 
2024-11-11, home, mother, REP, 0.5, 
2024-11-12, grape seed, daniel jojo, TSI REP, 1.5,
2024-11-12, home, daddy, REP, 0.5, 
2024-11-13, home, daddy, REP, 0.5, 
2024-11-14, grape seed, daniel jojo, TSI REP, 1.5, U3
2024-11-14, home, daddy, REP, 0.5, 
2024-11-15, home, daddy, REP, 0.5, 
2024-11-16, grape seed, daniel Bella, TSI REP, 1.5,
2024-11-16, home, daddy, REP, 0.5, 
2024-11-17, home, daddy, REP, 0.5, 
2024-11-18, home, mother, REP, 0.5, 
2024-11-19, grape seed, daniel Bella, TSI REP, 1.5,
2024-11-19, home, mother, REP, 0.5, 
2024-11-20, home, daddy, REP, 0.5, 
2024-11-21, grape seed, daniel Bella, TSI REP, 1.5,
2024-11-21, home, mother, REP, 0.5, 
2024-11-22, home, mother, REP, 0.5, 
2024-11-23, grape seed, daniel Bella, TSI REP, 1.5,
2024-11-23, home, daddy, REP, 0.5, 
2024-11-24, home, daddy, REP, 0.5, 
2024-11-25, home, mother, REP, 0.5, 
2024-11-26, grape seed, daniel Bella, TSI REP, 1.5,
2024-11-26, home, mother, REP, 0.5, 
2024-11-27, home, daddy, REP, 0.5, 
2024-11-28, grape seed, daniel Bella, TSI REP, 1.5,
2024-11-28, home, mother, REP, 0.5, 
2024-11-29, home, daddy, REP, 0.5, 
2024-11-30, grape seed, daniel Bella, TSI REP, 1.5,
2024-11-30, home, daddy, REP, 0.5, 
2024-12-01, home, daddy, REP, 0.5, 
2024-12-02, home, mother, REP, 0.5, 
2024-12-03, grape seed, daniel Bella, TSI REP, 1.5,
2024-12-03, home, daddy, REP, 0.5,
2024-12-04, home, daddy, REP, 0.5,
2024-12-05, grape seed, daniel Bella, TSI REP, 1.5,
2024-12-05, home, daddy, REP, 0.5, 
2024-12-06, home, daddy, REP, 0.5, 
2024-12-07, grape seed, daniel Bella, TSI REP, 1.5,
2024-12-07, home, daddy, REP, 0.5, 
2024-12-08, home, daddy, REP, 0.5, 
2024-12-09, home, daddy, REP, 0.5, 
2024-12-10, grape seed, daniel Bella, TSI REP, 1.5,
2024-12-10, home, daddy, REP, 0.5, 
2024-12-11, home, daddy, REP, 0.5, 
2024-12-12, grape seed, daniel Bella, TSI REP, 1.5,
2024-12-12, home, daddy, REP, 0.5, 
2024-12-13, home, daddy, REP, 0.5, 
2024-12-14, grape seed, daniel Bella, TSI REP, 1.5,
2024-12-14, home, daddy, REP, 0.5, 
2024-12-15, home, daddy, REP, 0.5, 
2024-12-16, home, mother, REP, 0.5, 
2024-12-17, grape seed, daniel Bella, TSI REP, 1.5,
2024-12-17, home, daddy, REP, 0.5, 
2024-12-18, home, daddy, REP, 0.5, 
2024-12-19, grape seed, daniel Bella, TSI REP, 1.5,
2024-12-19, home, daddy, REP, 0.5, 
2024-12-20, home, daddy, REP, 0.5, 
2024-12-21, home, daddy, REP, 0.5, 
